                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8036,                  2.653,                 1.5159,                 0.3662,                0.57115,                0.41452,                0.26161,                 1.2999,                 3.3417,                 1.3056,                 0.0766,                 0.0026,                 0.0026
                      1,                 1.3436,                 1.5481,                 1.2422,                 0.3397,                0.69271,                0.52508,                 0.3574,                 1.1053,                 2.4428,                 1.1543,               0.052274,              0.0052738,              0.0052738
                      2,                 1.2391,                 1.4264,                 1.1262,                0.47495,                0.66346,                  0.519,                0.34908,                  1.136,                 1.9852,                 1.0558,               0.027921,              0.0079208,              0.0079208
                      3,                 1.1698,                 1.4364,                 1.0548,                0.40321,                0.85409,                0.67745,                0.47557,                 1.0764,                 2.0597,                 1.1093,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1618,                  1.468,                 1.0877,                0.55882,                0.84734,                 0.7686,                0.57885,                0.95662,                 1.1742,                 1.0271,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1592,                 1.1968,                 1.0423,                0.47761,                0.71967,                0.50177,                  0.283,                 1.3843,                 1.7581,                 1.1558,               0.009802,               0.009802,               0.009802
                      6,                 1.2135,                 1.1276,                 1.0402,                0.71266,                0.75969,                  0.839,                0.64379,                0.93559,                0.83596,                0.96739,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1426,                 1.0375,                  1.014,                0.60731,                0.75206,                0.78821,                0.54803,                 1.1631,                 1.3031,                 1.0798,               0.009703,               0.009703,               0.009703
                      8,                 1.1793,                0.91686,                 1.0245,                0.86056,                0.84817,                 0.9134,                0.65845,                 1.1051,                0.78829,                 1.0135,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1068,                0.87508,                 1.0015,                0.80558,                0.85761,                0.91118,                0.70142,                0.88626,                0.70396,                 0.9328,               0.009604,               0.009604,               0.009604
                     10,                 1.0661,                0.90365,                0.99455,                0.84911,                 0.8493,                0.92475,                0.69892,                0.91221,                0.70895,                0.94594,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0994,                0.81798,                0.99812,                0.73652,                0.80911,                0.82191,                0.59697,                 1.0022,                0.89771,                0.99358,               0.009505,               0.009505,               0.009505
                     12,                 1.0835,                0.82152,                0.99465,                0.77874,                0.87359,                0.90184,                0.69038,                0.90002,                0.68304,                 0.9473,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0535,                0.79898,                0.98392,                0.88769,                  0.818,                0.91498,                0.68568,                0.98633,                0.72643,                0.99537,               0.009406,               0.009406,               0.009406
                     14,                 1.0177,                0.82213,                0.97095,                0.72918,                0.80427,                0.90627,                 0.6769,                 1.0262,                0.83385,                0.99099,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0735,                0.77551,                0.98549,                0.84848,                0.82859,                 0.9034,                0.68623,                0.91227,                0.66602,                0.94248,               0.009307,               0.009307,               0.009307
                     16,                 1.0306,                0.73744,                0.97592,                0.90065,                0.85574,                0.93564,                 0.7064,                0.90283,                0.60677,                0.93316,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0506,                0.70521,                0.97696,                0.77424,                0.91923,                0.91928,                0.69387,                0.97315,                0.65731,                 0.9905,               0.009208,               0.009208,               0.009208
                     18,                 1.0342,                0.70809,                0.98406,                0.84047,                0.88921,                0.93186,                0.72258,                0.89011,                0.62353,                0.94336,              0.0091585,              0.0091585,              0.0091585
                     19,                0.98716,                0.67447,                0.96444,                0.88613,                0.90537,                0.95281,                0.72399,                0.91024,                0.60537,                0.94748,               0.009109,               0.009109,               0.009109
                     20,                0.99377,                 0.6921,                 0.9789,                0.85951,                0.85887,                0.93705,                0.72166,                0.93135,                0.62941,                0.98002,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0164,                0.66745,                0.97478,                0.73184,                0.84886,                0.87287,                0.67572,                 0.9083,                0.73266,                0.96174,                0.00901,                0.00901,                0.00901
                     22,                0.99903,                0.65193,                0.96739,                 0.8746,                0.88135,                0.93566,                0.73764,                0.87752,                0.57158,                0.94718,              0.0089605,              0.0089605,              0.0089605
                     23,                0.98002,                0.64552,                0.95604,                0.79355,                0.90455,                0.90347,                0.71313,                0.87962,                 0.6102,                0.95201,               0.008911,               0.008911,               0.008911
                     24,                0.98128,                0.63911,                0.96221,                0.86309,                0.87811,                0.93052,                0.72511,                0.92221,                0.61672,                0.96294,              0.0088615,              0.0088615,              0.0088615
                     25,                0.96642,                   0.63,                 0.9604,                0.87933,                 0.9226,                0.95787,                0.74378,                0.89957,                0.56656,                0.96435,               0.008812,               0.008812,               0.008812
                     26,                 0.9483,                0.63934,                0.95494,                0.87467,                0.91505,                0.94478,                0.74754,                0.84171,                0.55361,                0.93049,              0.0087625,              0.0087625,              0.0087625
                     27,                0.95793,                0.60235,                0.95049,                0.86249,                0.91403,                0.93541,                0.74145,                0.87755,                0.56685,                0.94745,               0.008713,               0.008713,               0.008713
                     28,                0.96168,                0.60666,                 0.9562,                0.90968,                0.86881,                0.94876,                0.74587,                0.89653,                0.59668,                0.95176,              0.0086635,              0.0086635,              0.0086635
                     29,                0.92397,                0.60548,                0.94357,                0.90519,                0.89396,                0.94433,                0.75517,                0.85693,                0.55088,                0.93825,               0.008614,               0.008614,               0.008614
                     30,                0.93458,                0.61822,                0.94696,                0.91135,                0.88257,                0.95227,                0.75002,                 0.9159,                0.60564,                0.97557,              0.0085645,              0.0085645,              0.0085645
                     31,                0.92388,                0.58725,                0.95178,                0.92758,                0.84204,                0.94318,                  0.737,                0.88233,                0.56275,                0.94445,               0.008515,               0.008515,               0.008515
                     32,                0.95447,                0.58618,                0.95305,                0.89681,                0.87084,                0.94202,                0.75169,                0.85637,                0.52455,                0.94239,              0.0084655,              0.0084655,              0.0084655
                     33,                0.92666,                0.56954,                0.94437,                0.87939,                0.83814,                0.93218,                0.72158,                0.93595,                0.58494,                0.97532,               0.008416,               0.008416,               0.008416
                     34,                0.91597,                0.57334,                0.93809,                0.91539,                0.85574,                0.93655,                0.73381,                0.90668,                0.57875,                0.94706,              0.0083665,              0.0083665,              0.0083665
                     35,                0.90964,                  0.572,                  0.941,                0.88018,                0.86929,                0.92907,                 0.7335,                0.90309,                0.61771,                0.95808,               0.008317,               0.008317,               0.008317
                     36,                0.89995,                0.57013,                0.93493,                0.89819,                0.86143,                0.94045,                0.74155,                0.90268,                 0.5476,                0.95472,              0.0082675,              0.0082675,              0.0082675
                     37,                0.89137,                0.55248,                0.93217,                0.89225,                0.88338,                0.94052,                 0.7502,                0.87724,                0.54121,                0.94294,               0.008218,               0.008218,               0.008218
                     38,                0.91341,                0.55826,                0.93643,                0.87863,                0.89046,                0.94449,                0.74981,                0.90352,                 0.5914,                0.95963,              0.0081685,              0.0081685,              0.0081685
                     39,                0.89912,                0.54904,                0.93416,                0.91728,                0.85574,                0.94415,                0.75479,                0.86803,                0.54715,                0.94025,               0.008119,               0.008119,               0.008119
                     40,                 0.8863,                0.55502,                0.93534,                0.90425,                0.82689,                 0.9405,                0.75403,                0.91229,                0.61749,                0.96091,              0.0080695,              0.0080695,              0.0080695
                     41,                0.89135,                0.56904,                0.93112,                0.91731,                0.85476,                0.93842,                0.73894,                0.89628,                0.58005,                 0.9601,                0.00802,                0.00802,                0.00802
                     42,                0.86636,                0.56183,                0.93385,                0.94883,                0.85996,                0.93921,                0.75538,                0.88799,                0.58258,                0.95203,              0.0079705,              0.0079705,              0.0079705
                     43,                0.90087,                0.52363,                0.93742,                0.94159,                0.85345,                0.92639,                0.73501,                 0.8661,                0.57079,                 0.9381,               0.007921,               0.007921,               0.007921
                     44,                0.89085,                0.51988,                0.92988,                0.90699,                0.88138,                0.93619,                0.75043,                0.87886,                 0.5524,                0.94576,              0.0078715,              0.0078715,              0.0078715
                     45,                0.87041,                0.51021,                0.92021,                 0.8651,                0.91297,                0.94342,                0.76325,                0.85319,                0.55699,                0.93494,               0.007822,               0.007822,               0.007822
                     46,                0.86201,                0.51703,                0.92042,                0.92735,                0.83971,                0.93395,                0.74684,                0.89251,                0.60276,                0.95711,              0.0077725,              0.0077725,              0.0077725
                     47,                0.85695,                0.52439,                0.92575,                0.87322,                0.85483,                0.93589,                0.73861,                0.86394,                0.56951,                0.94151,               0.007723,               0.007723,               0.007723
                     48,                 0.8586,                 0.5144,                0.92193,                0.89233,                0.85235,                0.93154,                0.74199,                0.89925,                0.56303,                0.96571,              0.0076735,              0.0076735,              0.0076735
                     49,                  0.858,                0.50237,                0.91183,                0.87547,                0.87206,                0.93419,                0.74773,                0.91765,                0.58156,                0.97307,               0.007624,               0.007624,               0.007624
                     50,                0.85834,                0.50274,                0.91832,                0.87252,                0.87438,                0.92436,                0.73447,                  0.887,                 0.5825,                0.95589,              0.0075745,              0.0075745,              0.0075745
                     51,                0.84884,                0.51252,                 0.9269,                0.91162,                0.85626,                 0.9366,                0.75108,                0.87459,                0.59402,                0.96033,               0.007525,               0.007525,               0.007525
                     52,                0.83955,                0.49382,                0.91864,                0.88251,                0.87582,                 0.9405,                0.75229,                0.89682,                  0.551,                0.96705,              0.0074755,              0.0074755,              0.0074755
                     53,                0.83292,                0.50453,                0.90916,                0.93414,                0.85961,                0.94223,                0.76101,                0.86451,                0.59413,                0.94888,               0.007426,               0.007426,               0.007426
                     54,                0.82004,                0.47852,                0.90524,                0.87428,                0.90063,                0.95069,                0.76412,                0.88012,                0.53321,                 0.9551,              0.0073765,              0.0073765,              0.0073765
                     55,                0.83961,                0.49183,                0.91427,                0.89643,                0.89193,                0.94739,                0.74754,                0.90734,                0.56597,                0.94457,               0.007327,               0.007327,               0.007327
                     56,                0.82277,                0.49297,                0.91918,                0.92402,                0.87585,                0.94289,                0.76006,                0.87578,                0.54203,                0.94493,              0.0072775,              0.0072775,              0.0072775
                     57,                0.82015,                0.47474,                0.90548,                0.82696,                0.85743,                0.90375,                0.71746,                0.92107,                0.60439,                0.97076,               0.007228,               0.007228,               0.007228
                     58,                0.82526,                 0.4764,                0.90317,                0.82137,                 0.7922,                0.90182,                0.71172,                0.90194,                0.63602,                0.95856,              0.0071785,              0.0071785,              0.0071785
                     59,                  0.818,                0.47636,                 0.9169,                0.93155,                0.85891,                 0.9415,                0.75209,                0.87664,                 0.5416,                0.94332,               0.007129,               0.007129,               0.007129
                     60,                0.82476,                 0.4745,                0.91291,                0.85891,                0.90043,                0.93657,                 0.7466,                0.90335,                0.52251,                0.96672,              0.0070795,              0.0070795,              0.0070795
                     61,                0.81449,                0.46822,                0.90904,                0.88299,                0.91204,                0.93454,                0.75376,                0.84684,                0.51527,                0.93432,                0.00703,                0.00703,                0.00703
                     62,                0.80317,                0.47887,                0.89998,                0.89751,                0.89313,                0.93163,                0.72738,                0.95999,                0.57203,                0.98925,              0.0069805,              0.0069805,              0.0069805
                     63,                0.81357,                0.48353,                0.90825,                0.92013,                0.87201,                0.93616,                0.74516,                0.87031,                0.52217,                0.94634,               0.006931,               0.006931,               0.006931
                     64,                0.82115,                 0.4646,                0.90376,                0.89532,                0.88432,                0.93611,                0.75586,                 0.8773,                0.52173,                0.95255,              0.0068815,              0.0068815,              0.0068815
                     65,                0.83209,                0.46722,                0.91102,                0.90773,                0.86673,                0.93088,                0.74211,                0.90027,                0.54254,                0.96467,               0.006832,               0.006832,               0.006832
                     66,                0.79501,                0.45445,                0.90545,                0.90231,                0.87245,                0.94138,                0.75195,                0.86929,                0.53787,                0.94087,              0.0067825,              0.0067825,              0.0067825
                     67,                0.78623,                0.45747,                0.89663,                0.88548,                0.88191,                0.93047,                0.74289,                 0.8959,                0.54719,                0.95947,               0.006733,               0.006733,               0.006733
                     68,                0.78518,                0.45245,                0.89809,                0.93973,                0.86798,                0.94622,                0.75768,                0.87258,                0.52715,                0.94536,              0.0066835,              0.0066835,              0.0066835
                     69,                0.78756,                0.45163,                0.89768,                0.90723,                0.88002,                0.94371,                 0.7541,                0.87662,                0.55962,                0.94895,               0.006634,               0.006634,               0.006634
                     70,                0.79252,                0.44607,                0.89492,                0.90947,                0.84197,                0.92445,                0.74203,                0.88108,                0.56171,                0.94777,              0.0065845,              0.0065845,              0.0065845
                     71,                0.78655,                0.44142,                0.89865,                 0.9225,                0.82814,                0.92186,                0.72549,                0.93574,                0.56096,                0.98426,               0.006535,               0.006535,               0.006535
                     72,                0.78332,                0.44501,                0.90002,                0.87069,                0.89445,                0.92383,                0.72394,                0.94686,                0.54824,                0.98402,              0.0064855,              0.0064855,              0.0064855
                     73,                0.77138,                0.44775,                0.89346,                0.90766,                0.85921,                0.93082,                0.75452,                0.87143,                0.55654,                0.94917,               0.006436,               0.006436,               0.006436
                     74,                0.75425,                0.45872,                0.89928,                0.90334,                 0.8835,                0.93712,                0.74568,                0.92205,                0.58862,                0.97464,              0.0063865,              0.0063865,              0.0063865
                     75,                0.75378,                0.45381,                0.89622,                0.94643,                0.80861,                 0.9382,                0.74993,                0.88638,                0.57517,                0.96211,               0.006337,               0.006337,               0.006337
                     76,                0.75051,                0.44747,                0.89539,                0.86042,                0.92552,                0.93481,                0.75048,                0.89436,                0.56596,                0.96886,              0.0062875,              0.0062875,              0.0062875
                     77,                0.75525,                0.43822,                0.89908,                0.89607,                 0.8905,                0.93615,                0.75404,                0.87642,                0.54617,                0.95813,               0.006238,               0.006238,               0.006238
                     78,                0.76286,                0.43573,                 0.8955,                0.87217,                0.91708,                0.94193,                0.74786,                0.92917,                0.54802,                0.97843,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.7438,                0.42219,                0.88795,                0.94188,                0.84972,                0.93368,                0.74576,                0.88523,                0.55232,                0.95458,               0.006139,               0.006139,               0.006139
                     80,                0.74837,                0.43697,                0.89468,                0.90633,                0.87674,                0.94514,                0.75532,                0.88246,                0.55023,                0.95418,              0.0060895,              0.0060895,              0.0060895
                     81,                0.73876,                0.42675,                0.88769,                0.90734,                 0.8839,                0.94673,                0.75586,                0.91424,                0.53531,                0.97111,                0.00604,                0.00604,                0.00604
                     82,                0.75592,                0.43022,                0.88602,                0.87942,                0.91407,                 0.9481,                0.75888,                0.88676,                0.52747,                0.95906,              0.0059905,              0.0059905,              0.0059905
                     83,                0.73006,                0.41437,                 0.8831,                0.91953,                  0.883,                0.94525,                0.75858,                0.89206,                0.54465,                0.95813,               0.005941,               0.005941,               0.005941
                     84,                0.73492,                0.41555,                0.88544,                0.92046,                0.87358,                0.94674,                0.75885,                0.92107,                0.54545,                0.97562,              0.0058915,              0.0058915,              0.0058915
                     85,                0.74138,                 0.4188,                0.88991,                0.92261,                0.86736,                0.93628,                0.75467,                0.89028,                0.56805,                0.96205,               0.005842,               0.005842,               0.005842
                     86,                0.71874,                 0.4149,                0.88491,                0.88515,                0.88488,                0.92583,                0.74873,                0.88885,                0.59922,                0.95654,              0.0057925,              0.0057925,              0.0057925
                     87,                0.72281,                 0.4068,                0.88879,                0.91607,                0.86447,                0.94056,                0.74344,                0.94665,                0.55202,                0.99076,               0.005743,               0.005743,               0.005743
                     88,                0.71822,                0.41263,                0.88527,                0.89746,                 0.8638,                0.93848,                0.74093,                0.91888,                0.54432,                0.97261,              0.0056935,              0.0056935,              0.0056935
                     89,                0.71581,                0.40751,                0.87992,                0.88196,                0.91217,                0.93808,                0.74713,                0.92617,                 0.5373,                0.98254,               0.005644,               0.005644,               0.005644
                     90,                0.70632,                0.40286,                0.87875,                0.88748,                0.92126,                0.93603,                0.74659,                0.90871,                0.54821,                  0.968,              0.0055945,              0.0055945,              0.0055945
                     91,                0.70215,                 0.4048,                0.87378,                0.88565,                0.88861,                 0.9344,                0.74938,                 0.9045,                0.55628,                0.95871,               0.005545,               0.005545,               0.005545
                     92,                0.71571,                0.40703,                0.87573,                0.91738,                0.86732,                 0.9305,                0.74419,                0.92639,                0.56194,                0.97239,              0.0054955,              0.0054955,              0.0054955
                     93,                0.70067,                0.40424,                0.87041,                0.88804,                0.88296,                0.93911,                 0.7543,                0.89396,                0.53644,                0.95419,               0.005446,               0.005446,               0.005446
                     94,                0.69069,                0.40094,                0.87148,                0.86658,                0.92413,                0.93203,                0.74427,                0.90948,                0.53649,                0.96669,              0.0053965,              0.0053965,              0.0053965
                     95,                0.70224,                0.40172,                0.87279,                0.88156,                0.90286,                0.93181,                0.75016,                0.88555,                0.53898,                0.95469,               0.005347,               0.005347,               0.005347
                     96,                0.67964,                0.39632,                0.87471,                0.88252,                0.88893,                0.93398,                0.74902,                0.88894,                0.56059,                0.95699,              0.0052975,              0.0052975,              0.0052975
                     97,                0.68518,                0.40852,                0.87382,                0.90951,                0.85428,                0.93093,                0.74107,                0.91606,                0.57906,                0.96987,               0.005248,               0.005248,               0.005248
                     98,                0.69706,                0.40469,                0.87025,                0.88943,                0.89396,                0.92736,                0.73423,                0.90604,                 0.5362,                0.96583,              0.0051985,              0.0051985,              0.0051985
                     99,                0.70117,                0.40097,                0.87087,                0.93174,                 0.8726,                0.94156,                0.75655,                0.90281,                0.55027,                0.96938,               0.005149,               0.005149,               0.005149
                    100,                0.67349,                0.38599,                0.86903,                0.91531,                0.89193,                0.94084,                0.74549,                0.91365,                0.53211,                0.97795,              0.0050995,              0.0050995,              0.0050995
                    101,                0.66959,                0.39506,                0.86132,                 0.9018,                0.90703,                0.93682,                0.74294,                0.91541,                0.53224,                0.98416,                0.00505,                0.00505,                0.00505
                    102,                0.67434,                0.38628,                0.86514,                0.93083,                0.87687,                0.94149,                0.74995,                 0.8942,                0.53439,                0.96126,              0.0050005,              0.0050005,              0.0050005
                    103,                0.66336,                0.38051,                0.86727,                0.91747,                0.87046,                0.93678,                0.75192,                 0.9034,                0.55494,                0.96911,               0.004951,               0.004951,               0.004951
                    104,                 0.6565,                0.38052,                0.86513,                0.93356,                0.86684,                0.93518,                0.75156,                0.90026,                0.53919,                0.96813,              0.0049015,              0.0049015,              0.0049015
